dataset,method,baseline_macro_f1,90_percent_threshold,max_removed_features_at_90_percent,macro_f1_at_k
NSL-KDD,GWO,0.7228726187387609,0.6505853568648848,0,0.7228726187387609
NSL-KDD,LIME,0.7228726187387609,0.6505853568648848,40,0.6632788482621554
NSL-KDD,SHAP,0.7228726187387609,0.6505853568648848,5,0.7168028696753921
RT-IoT2022,GWO,0.9806186572560694,0.8825567915304625,0,0.9806186572560694
RT-IoT2022,LIME,0.9806186572560694,0.8825567915304625,5,0.907711460787917
RT-IoT2022,SHAP,0.9806186572560694,0.8825567915304625,0,0.9806186572560694
