dataset,sigma,GWO,LIME,SHAP
NSL-KDD,0.1,0.1111111111111111,0.6666666666666666,0.8181818181818182
NSL-KDD,0.3,0.05263157894736842,0.0,0.8181818181818182
RT-IoT2022,0.1,0.05263157894736842,1.0,0.8181818181818182
RT-IoT2022,0.3,0.0,1.0,0.8181818181818182
